17:20,57.0,100
17:40,57.0,100
18:00,56.0,100
18:20,58.0,100
18:40,57.0,100
19:00,57.0,100
19:20,58.0,100
19:40,57.0,100
20:00,58.0,100
20:20,58.0,100
20:40,57.0,100
21:00,58.0,100
21:20,58.0,100
21:40,59.0,100
22:00,58.0,100
22:20,58.0,100
22:40,59.0,100
23:00,59.0,100
23:20,58.0,100
23:40,58.0,100
00:00,59.0,100
00:20,58.0,100
00:40,59.0,100
01:00,59.0,100
01:20,59.0,100
01:40,59.0,100
02:00,62.0,100
02:20,61.0,100
02:40,61.0,100
03:00,60.0,100
03:20,60.0,100
03:40,60.0,100
04:00,61.0,100
04:20,59.0,100
04:40,60.0,100
05:00,59.0,100
05:20,59.0,100
05:40,58.0,100
06:00,58.0,100
06:20,57.0,100
06:40,57.0,100
07:00,57.0,100
07:20,58.0,100
07:40,57.0,100
08:00,58.0,100
08:20,58.0,100
08:40,57.0,100
09:00,57.0,100
09:20,57.0,100
09:40,57.0,100
10:00,57.0,100
10:20,58.0,100
10:40,57.0,100
11:00,57.0,100
11:20,58.0,100
11:40,57.0,100
12:00,58.0,100
16:40,48.0,92
17:00,54.0,100
17:20,56.0,100
17:40,58.0,100
18:00,57.0,100
18:20,58.0,100
18:40,58.0,100
19:00,57.0,100
19:20,58.0,100
19:40,58.0,100
20:00,58.0,100
20:20,59.0,100
20:40,58.0,100
21:00,59.0,100
21:20,57.0,100
